Unique ID,Post,Labels Set,Filtered_Post
3144,"ऑटो चालकों की सुरक्षा की ओर, ZEE News की एक पहल 
#ZEENewsSalutesAutoDrivers #CoronaWarriors https://t.co/LRDeI1Kh4I",non-hostile,"ऑटो चालकों सुरक्षा ओर, ZEE News पहल #ZEENewsSalutesAutoDrivers #CoronaWarriors https://t.co/LRDeI1Kh4I"
3145,"अभिनेत्री कंगना रनौत और शिवसेना में रार, जारी है वार और पलटवार।  
#Dangal #KanganaRanaut #Maharashtra #Mumbai 
लाइव https://t.co/fOz5QPkk43 https://t.co/sl5wHhPz4r",non-hostile,"अभिनेत्री कंगना रनौत शिवसेना रार, जारी वार पलटवार। #Dangal #KanganaRanaut #Maharashtra #Mumbai लाइव https://t.co/fOz5QPkk43 https://t.co/sl5wHhPz4r"
3146,आज खेल के किस्सों में बारी है टेनिस स्टार सानिया मिर्ज़ा की. सानिया के खेल पर चर्चा के अलावा बात होगी उनकी और शोएब मलिक की प्रेम कहानी की. तो देखना न भूलें खेल के किस्से आज दोपहर रेहान फ़ज़ल और सूर्यांशी पांडे के साथ. https://t.co/aALjRxkz0f,non-hostile,खेल किस्सों बारी टेनिस स्टार सानिया मिर्ज़ा की. सानिया खेल चर्चा अलावा बात होगी शोएब मलिक प्रेम कहानी की. देखना भूलें खेल किस्से दोपहर रेहान फ़ज़ल सूर्यांशी पांडे साथ. https://t.co/aALjRxkz0f
3147,शाहीन बाग में रेट फिक्स था। फातिमा के पिल्ले. काफिरों नें मजे कर लिए. 😜😜😜मुस्लिम पर्सनल लॉ बोर्ड की मैया खोद दिया काफिरों नें मौलवी साला बकरी ढुढ़नें निकल गया था।😜😜😜,defamation,शाहीन बाग रेट फिक्स था। फातिमा पिल्ले. काफिरों नें मजे लिए. 😜😜😜मुस्लिम पर्सनल लॉ बोर्ड मैया खोद काफिरों नें मौलवी साला बकरी ढुढ़नें था।😜😜😜
3148,"संबंधों में प्रेम, करुणा को स्थायी भाव दें. जब तक हम अपने मूल्य से परिचित नहीं होंगे, अपने होने को हासिल करना बहुत मुश्किल होगा. पढ़ें, #जीवनसंवाद अब अंग्रेजी में भी...
#JeevanSamvad @DayashankarMi 
https://t.co/1PrKcXim1b",non-hostile,"संबंधों प्रेम, करुणा स्थायी भाव दें. मूल्य परिचित होंगे, हासिल मुश्किल होगा. पढ़ें, #जीवनसंवाद अंग्रेजी भी... #JeevanSamvad @DayashankarMi https://t.co/1PrKcXim1b"
3149,@KanganaTeam तू फस गई है अपने ही बुने जाल में जहां से निकालना नामुमकिन है यह सोशल मीडिया है जहां से जन्म कुंडली ढूंढ ली जाती है ड्रग सप्लायर थी जो पंजाब हिमाचल से मुंबई सप्लाई करती थी यह पुलिस ढूंढ लेंगे रातों-रात हजारों करोड़ की मालकिन बिना पिक्चर बनाए बिना कोई हिट हीरोइन होते संभव नहीं,"defamation,offensive",@KanganaTeam तू फस बुने जाल निकालना नामुमकिन सोशल मीडिया जन्म कुंडली ढूंढ ली ड्रग सप्लायर पंजाब हिमाचल मुंबई सप्लाई करती पुलिस ढूंढ लेंगे रातों-रात हजारों करोड़ मालकिन बिना पिक्चर बनाए बिना हिट हीरोइन संभव
3150,"वारिस पठान - हमारे पुलिसकर्मी के साथ शांतिपूर्ण वार्तालाप करते हुए। ... तालाबंदी के इनके अपने नियम जो वह शांति से हमारी पुलिस को समझा रहे है। संपूर्ण राष्ट्र लॉकडाउन को पालन कर रहा हैं। और उनके पास अलग ही विशेषाधिकार हैं। यदि यह लोग कोरोना से संक्रमित हो जाते हैं तो क्या हमारे डॉक्टरों को इन लोगो का इलाज करना चाहिए?
",fake,वारिस पठान - हमारे पुलिसकर्मी शांतिपूर्ण वार्तालाप हुए। ... तालाबंदी नियम शांति हमारी पुलिस समझा है। संपूर्ण राष्ट्र लॉकडाउन पालन हैं। पास अलग विशेषाधिकार हैं। लोग कोरोना संक्रमित हमारे डॉक्टरों लोगो इलाज चाहिए?
3151,@ArvindD68203391 एकदम सही बात बोले आप ये साले खुद के धर्म को आगे बढ़ाने के लिए न कुछ कर रहे हैं बस खाली दूसरे धर्म की बुराई करते हैं,hate,@ArvindD68203391 एकदम सही बात बोले साले धर्म बढ़ाने बस खाली धर्म बुराई
3152,"अनुच्छेद 370 को हटाने के बाद पाकिस्तान में हाहाकार मचा, हिंदुस्तान में खुशी थी।

लेकिन राहुल गांधी अचानक संसद से बाहर निकलते हैं और कहते हैं कि हजारों लोगों का कत्लेआम हो गया है। जोकि एक फेक न्यूज़ थी, उन्होंने झूठ कहा था: डॉ @sambitswaraj",non-hostile,"अनुच्छेद 370 हटाने पाकिस्तान हाहाकार मचा, हिंदुस्तान खुशी थी। राहुल गांधी अचानक संसद निकलते हजारों लोगों कत्लेआम है। जोकि फेक न्यूज़ थी, उन्होंने झूठ था: डॉ @sambitswaraj"
3153,"#ENGvAUS : आरोन फिंच ने इंग्‍लैंड के खिलाफ बनाए दो बड़े रिकॉर्ड, सिर्फ विराट कोहली से रह गए पीछे

https://t.co/Y0OLCaYsJp",non-hostile,"#ENGvAUS : आरोन फिंच इंग्‍लैंड बनाए रिकॉर्ड, सिर्फ विराट कोहली रह पीछे https://t.co/Y0OLCaYsJp"
3154,"आज कोल इंडिया और इन्फोसिस के शेयरों में कमाई का मौका
https://t.co/2a6jXbBzJh via @NavbharatTimes 
#ShareMarket #Sensex #Nifty",non-hostile,कोल इंडिया इन्फोसिस शेयरों कमाई मौका https://t.co/2a6jXbBzJh via @NavbharatTimes #ShareMarket #Sensex #Nifty
3155,"पाकिस्तान सरकार के ख़िलाफ़ कनाडा, न्यूयॉर्क और लंदन में क्यों हुए विरोध प्रदर्शन? https://t.co/pr7BeasI20",non-hostile,"पाकिस्तान सरकार ख़िलाफ़ कनाडा, न्यूयॉर्क लंदन विरोध प्रदर्शन? https://t.co/pr7BeasI20"
3156,"मध्‍य प्रदेश में कल 1694 लोगों में #कोरोना संक्रमण की पुष्टि हुई। कुल संक्रमितों की संख्‍या 73,574 हो गयी है। इस महामारी से अब तक 1572 लोगों की जान गई।",non-hostile,"मध्‍य प्रदेश 1694 लोगों #कोरोना संक्रमण पुष्टि हुई। संक्रमितों संख्‍या 73,574 है। महामारी 1572 लोगों जान गई।"
3157,#राजीव_कुमार ने आज देश के चुनाव आयुक्‍त का कार्यभार संभाल लिया है। https://t.co/YXOKErxOJT,non-hostile,#राजीव_कुमार देश चुनाव आयुक्‍त कार्यभार संभाल है। https://t.co/YXOKErxOJT
3158,@draijada1 @ca350370031d4d5 2014 से पहले अंबानी की एक लाख करोड़ के भी हैसियत नहीं थी उसने रिलायंस के सिम चलाई थी कुत्ता भी नहीं पूछ रही थी 2014 में jio लेकर आती है सरकारी कंपनी बीएसएनएल को सरकार बर्बाद करवाती है जियो के ब्रांड मिस्टर बनकर लाखों करोड़ की फायदा पहुंचा देती है और प्रमाण या इतना काफी है,defamation,@draijada1 @ca350370031d4d5 2014 अंबानी लाख करोड़ हैसियत उसने रिलायंस सिम चलाई कुत्ता पूछ 2014 jio आती सरकारी कंपनी बीएसएनएल सरकार बर्बाद करवाती जियो ब्रांड मिस्टर बनकर लाखों करोड़ फायदा पहुंचा देती प्रमाण इतना काफी
3159,"प्रादेशिक समाचार हरियाणा 30.08.2020 

देखिये प्रदेश से जुडी ख़बरों का लेखा-जोखा, रोज़ाना शाम 6:30 बजे सिर्फ दूरदर्शन हिसार पर
https://t.co/6voxwZRt7D https://t.co/3gTC4vghJg",non-hostile,"प्रादेशिक समाचार हरियाणा 30.08.2020 देखिये प्रदेश जुडी ख़बरों लेखा-जोखा, रोज़ाना शाम 6:30 बजे सिर्फ दूरदर्शन हिसार https://t.co/6voxwZRt7D https://t.co/3gTC4vghJg"
3160,"एक बीजेपी के मुख्यमंत्री #शिवराज_सिंह_चौहान है 
और हद तो तब हो गई जब बेटी पढाऔ बेटी बचाओ का नारा देने वाले #मामाजी मुख्यमंत्री ने अपनी ही प्रदेश की #महिला_पुलिस कर्मियों को #शराब बिक्री के लिए शराब दुकान पर बैठने पर मजबूर कर दिया","defamation,hate",बीजेपी मुख्यमंत्री #शिवराज_सिंह_चौहान हद बेटी पढाऔ बेटी बचाओ नारा देने #मामाजी मुख्यमंत्री प्रदेश #महिला_पुलिस कर्मियों #शराब बिक्री शराब दुकान बैठने मजबूर
3161,@ShilpiSinghINC कमीनी भारत को थू कह रहीहै,offensive,@ShilpiSinghINC कमीनी भारत थू कह रहीहै
3162,"इस वर्ष सितंबर में मनाया जा रहा है तीसरा #राष्ट्रीयपोषणमाह

विवरण : https://t.co/x78Eteb20Q

#poshanmaah2020 https://t.co/DdMaUhGHNN",non-hostile,वर्ष सितंबर मनाया तीसरा #राष्ट्रीयपोषणमाह विवरण : https://t.co/x78Eteb20Q #poshanmaah2020 https://t.co/DdMaUhGHNN
3163,ये जिस भी अस्पताल का है बेहद डरावना है https://t.co/X7EDZi9qtU,non-hostile,अस्पताल बेहद डरावना https://t.co/X7EDZi9qtU
3164,"यह तो हद है: MA इकोनॉमिक्स हॉस्पिटल के मैनेजर बने सर्जन, केस बिगड़ने पर हॉस्पिटल सील
@dgpup @Uppolice #BagpatCrime #MedicalFacilitiesInUP
#UPCrime
https://t.co/kutPHNZpH7",non-hostile,"हद है: MA इकोनॉमिक्स हॉस्पिटल मैनेजर बने सर्जन, केस बिगड़ने हॉस्पिटल सील @dgpup @Uppolice #BagpatCrime #MedicalFacilitiesInUP #UPCrime https://t.co/kutPHNZpH7"
3165,"राष्ट्रीय शिक्षा नीति को अक्षरश: लागू करना सामूहिक जिम्मेदारी : प्रधानमंत्री मोदी
https://t.co/2lPjBWqrId",non-hostile,राष्ट्रीय शिक्षा नीति अक्षरश: लागू सामूहिक जिम्मेदारी : प्रधानमंत्री मोदी https://t.co/2lPjBWqrId
3166,"गांवों में काम नहीं, अगस्त में देश में बढ़ी बेरोजगारों की फौज
https://t.co/ZrRAkHkJ5T via @NavbharatTimes",non-hostile,"गांवों काम नहीं, अगस्त देश बढ़ी बेरोजगारों फौज https://t.co/ZrRAkHkJ5T via @NavbharatTimes"
3167,"अंध भक्तों तुम्हारे कोई ऐसे नेता की फोटो हो जो मजदूरों के साथ मुलाकात करते हो उनकी पीड़ा सुनते हुए फोटो होतो फोटो भेजो

#राहुल_गांधी_मजदूरों_के_साथ",hate,अंध भक्तों तुम्हारे नेता फोटो मजदूरों मुलाकात पीड़ा सुनते फोटो होतो फोटो भेजो #राहुल_गांधी_मजदूरों_के_साथ
3168,"#WorldCup2019 : आज इंग्लैंड-ऑस्ट्रेलिया के बीच सेमीफाइनल-2, फाइनल में न्यूजीलैंड से भिड़ेगी जीतने वाली टीम

#ENGvAUS 
https://t.co/tMEwjQorbs",non-hostile,"#WorldCup2019 : इंग्लैंड-ऑस्ट्रेलिया सेमीफाइनल-2, फाइनल न्यूजीलैंड भिड़ेगी जीतने वाली टीम #ENGvAUS https://t.co/tMEwjQorbs"
3169,"कश्मीर में सेना को बड़ी कामयाबी: बारामूला के रामपुर सेक्टर में आतंकियों के 2 ठिकानों का भंडाफोड़, एके सीरीज की 5 राइफल समेत भारी मात्रा में गोला-बारूद बरामद https://t.co/8JKweIQd7M #Kashmir #Baramulla #Terrorist @adgpi",non-hostile,"कश्मीर सेना बड़ी कामयाबी: बारामूला रामपुर सेक्टर आतंकियों 2 ठिकानों भंडाफोड़, एके सीरीज 5 राइफल समेत भारी मात्रा गोला-बारूद बरामद https://t.co/8JKweIQd7M #Kashmir #Baramulla #Terrorist @adgpi"
3170,"वर्दी में खड़ी महिला रक्षा मंत्री की बेटी है।

महिला अधिकारी रक्षा मंत्री निर्मला सीतारमण की बेटी नहीं है

",fake,वर्दी खड़ी महिला रक्षा मंत्री बेटी है। महिला अधिकारी रक्षा मंत्री निर्मला सीतारमण बेटी
3171,"@dgpgujarat
 
@NCWIndia
 यह कोई फर्जी ट्वीटर अकाउंट जो खुद को कांग्रेस वर्कर और गुजरात से बताताहै यह महिलाओं और लडकीयो को घटिया और घर्षित भाषा में गाली दे रहाहै ऐसे ही अपने घर की महिलाओं को गालीया देता होगा कृपा संज्ञान ले और इसके खिलाफ उचित कारवाई करवाने का कष्टकरे महोदय और महोदया","fake,offensive",@dgpgujarat @NCWIndia फर्जी ट्वीटर अकाउंट कांग्रेस वर्कर गुजरात बताताहै महिलाओं लडकीयो घटिया घर्षित भाषा गाली दे रहाहै महिलाओं गालीया देता होगा कृपा संज्ञान ले उचित कारवाई करवाने कष्टकरे महोदय महोदया
3172,रिया चक्रवर्ती की जमानत याचिका खारिज होने पर उनके पिता ने कहा है - मुझे मर जाना चाहिए।,fake,रिया चक्रवर्ती जमानत याचिका खारिज पिता - मुझे मर जाना चाहिए।
3173,"आजादी के पहले कभी किसानों के लिए वरदान मानी जाने वाली ये फैक्ट्री आज बन चुकी है खंडहर, पढ़ें पूरी कहानी

https://t.co/Q7dXtJF7nc",non-hostile,"आजादी किसानों वरदान मानी वाली फैक्ट्री बन चुकी खंडहर, पढ़ें पूरी कहानी https://t.co/Q7dXtJF7nc"
3174,"शाहीन बाग में फिक्स रेट है या मोलभाव भी होता है 

आज तो मे आगे वाली लाईन मे ही बैठुगी मौलाना आगे वाली की तरफ ज्यादा देखता हैं

#ShahinBagh",offensive,शाहीन बाग फिक्स रेट मोलभाव वाली लाईन बैठुगी मौलाना वाली तरफ देखता #ShahinBagh
3175,"जिसको शोहरत मुंबई ने दी
जिसको इज्जत मुंबई ने दी
जिसको पहचान मुंबई ने दी

वह मुंबई को पाकिस्तान कह रही है
काल अपनी माँ से ठन गई तो
अपनी मां पर भी पाकिस्तानी होने का आरोप लगा सकती है",defamation,जिसको शोहरत मुंबई दी जिसको इज्जत मुंबई दी जिसको पहचान मुंबई दी मुंबई पाकिस्तान कह काल माँ ठन मां पाकिस्तानी आरोप लगा
3176,थाइलैंड में एक पर्वत के नीचे पानी का एक छोटा झरना है जिसके बाजु वाले पर्वत पे ओम् ( ॐ ) का उच्चारण करने पर पानी का फ़व्वारा बन कर पर्वत से भी उपर तक उछलता है.. ये किसी बोद्ध साधु – सम्प्रदाय ने बनाया है । पानी का वज़न + गुरुत्वाकर्षण से भी इतना ऊपर पानी सिर्फ़ आवाज़ के तरंग से कैसे जा सकता है? ये कोई विज्ञानी ही बता सकता हे .. क्योंकि ऐसा सिर्फ़ ओम् ( ॐ )बोल ने पर ही होता हे !! ये भी एक अजूबा हे .. इसे कई भारतीयों ने भी ट्राई भी किया है..,fake,थाइलैंड पर्वत पानी छोटा झरना जिसके बाजु पर्वत ओम् ( ॐ ) उच्चारण पानी फ़व्वारा बन पर्वत उपर उछलता है.. बोद्ध साधु – सम्प्रदाय बनाया पानी वज़न + गुरुत्वाकर्षण इतना पानी सिर्फ़ आवाज़ तरंग है? विज्ञानी बता .. क्योंकि सिर्फ़ ओम् ( ॐ )बोल !! अजूबा .. भारतीयों ट्राई है..
3177,"पैरों में चप्पल पहनकर कोई भूमि पूजन होता है क्या?

ये किस मानसिकता के भक्त है मित्रो 😮😮","defamation,fake,offensive",पैरों चप्पल पहनकर भूमि पूजन क्या? मानसिकता भक्त मित्रो 😮😮
3178,"सच्चाई सबके सामने है लेकिन महाराष्ट्र सरकार किसी को बचाना चाहती है।

बताओ कौन..??",hate,सच्चाई सबके सामने महाराष्ट्र सरकार बचाना चाहती है। बताओ कौन..??
3179,"बिहार: पटना पहुंचे शक्ति सिंह गोहिल, कहा- महागठबंधन में सीट बंटवारे को लेकर विवाद नहीं

https://t.co/ROTv5p0Dn4",non-hostile,"बिहार: पटना पहुंचे शक्ति सिंह गोहिल, कहा- महागठबंधन सीट बंटवारे विवाद https://t.co/ROTv5p0Dn4"
3180,"सावधान—सावधान—सतर्क - अपने घर की और पड़ोस की औरतों को मना करें कि किसी भी कश्मीरी से कम्बल और कपड़े आदि सामान न खरीदे| देखिये कपडा बेचने वाले के वेश मे उग्रवादी घूम रहे है शक होने पर पंजाब मे पकडा गया आतंकी साथ मे पिस्टल और लोडेड मैगजीन

",fake,सावधान—सावधान—सतर्क - पड़ोस औरतों मना कश्मीरी कम्बल कपड़े सामान खरीदे| देखिये कपडा बेचने वेश उग्रवादी घूम शक पंजाब पकडा आतंकी पिस्टल लोडेड मैगजीन
3181,"कोरोना के डर को देखते हुए स्टूडेंट्स को कई सावधानियां बरतनी पड़ रही हैं. एंट्री से पहले उनका तापमान चेक किया जा रहा है, उन्हें सैनिटाइज़ किया जा रहा है. कई स्टूडेंट्स अपने साथ खुद का सैनिटाइज़र भी लेकर पहुंचे हैं.
https://t.co/59GNe0mXrF",non-hostile,"कोरोना डर देखते स्टूडेंट्स सावधानियां बरतनी पड़ हैं. एंट्री तापमान चेक है, सैनिटाइज़ है. स्टूडेंट्स सैनिटाइज़र पहुंचे हैं. https://t.co/59GNe0mXrF"
3182,"#IndiaFightsCorona: 

#COVID19 के समय मानसिक रोगियों के लिए सुझाव👇

#StaySafeStayHelpful #IndiaWillWin 

Via @WHO https://t.co/CtRFXosbei",non-hostile,#IndiaFightsCorona: #COVID19 मानसिक रोगियों सुझाव👇 #StaySafeStayHelpful #IndiaWillWin Via @WHO https://t.co/CtRFXosbei
3183,"आंध्र प्रदेश के कर्नूल मेडिकल कॉलेज में, लोकल विधायक हाफ़ीज खान ने एक नर्स को एक मौलवी के पैर छूकर माफ़ी माँगने पर मजबूर किया। कारण यह की नर्स अपने सहयोगियों से कह रही थी, अगर ये लोग जो मार्काज़ जाते हैं, अगर वे ख़ुद क्वारंटाइन पर गए होते, तो यह स्थिति पैदा नहीं होती।",fake,"आंध्र प्रदेश कर्नूल मेडिकल कॉलेज में, लोकल विधायक हाफ़ीज खान नर्स मौलवी पैर छूकर माफ़ी माँगने मजबूर किया। कारण नर्स सहयोगियों कह थी, लोग मार्काज़ हैं, ख़ुद क्वारंटाइन होते, स्थिति पैदा होती।"
3184,"उच्चतर शिक्षा के क्षेत्र में, इस शिक्षा नीति की अनुशंसाओं का समयबद्ध पालन सुनिश्चित करने के लिए विश्वविद्यालयों के कुलपतियों तथा शिक्षकों की वेकेन्सीज पर अतिशीघ्र सुयोग्य व्यक्तियों को नियुक्त करने की आवश्यकता है।",non-hostile,"उच्चतर शिक्षा क्षेत्र में, शिक्षा नीति अनुशंसाओं समयबद्ध पालन सुनिश्चित विश्वविद्यालयों कुलपतियों शिक्षकों वेकेन्सीज अतिशीघ्र सुयोग्य व्यक्तियों नियुक्त आवश्यकता है।"
3185,"साध्वी प्राची ने कंगना रनौत को लेकर शिवसेना और कांग्रेस पर निशाना साधा है. उन्होंने कहा कि शिवसेना और ठाकरे परिवार की फितरत बन गई है महिला का अपमान करना

https://t.co/pEuv0EP0yC",non-hostile,साध्वी प्राची कंगना रनौत शिवसेना कांग्रेस निशाना साधा है. उन्होंने शिवसेना ठाकरे परिवार फितरत बन महिला अपमान https://t.co/pEuv0EP0yC
3186,@AvikantT भारत के लोग दाने-दाने के लिए मोहताज हैं पाकिस्तान की शेयर मार्केट दुनिया की चौथी शेयर मार्केट बन गई है 38% वृद्धि के साथ उसकी अर्थव्यवस्था ठीक-ठाक चल रही है  भारत के जीडीपी माइनस 24  मूर्ख गवार भ्रष्ट के हाथ में देश जाने की नतीजा सामने  दिख रही है,hate,@AvikantT भारत लोग दाने-दाने मोहताज पाकिस्तान शेयर मार्केट दुनिया चौथी शेयर मार्केट बन 38% वृद्धि अर्थव्यवस्था ठीक-ठाक चल भारत जीडीपी माइनस 24 मूर्ख गवार भ्रष्ट हाथ देश नतीजा सामने दिख
3187,"ब्रिटेन की अदालत में नीरव मोदी के प्रत्यर्पण पर दूसरे चरण की पांच दिवसीय सुनवाई शुरू
#NiravModi
https://t.co/3y7iEYwcCn",non-hostile,ब्रिटेन अदालत नीरव मोदी प्रत्यर्पण चरण पांच दिवसीय सुनवाई शुरू #NiravModi https://t.co/3y7iEYwcCn
3188,"#IndiaFightsCorona

अपने मानसिक स्वास्थ्य को पूरी तरह से स्वस्थ रखने के लिये इन सरल उपायों का पालन करें। किसी भी प्रकार की मनोसामाजिक सहायता के लिए NIMHANS के (टोल फ्री) हेल्पलाइन #080-46110007 पर कॉल करें। बदलकर अपना व्यवहार, करें कोरोना पर वार। 

#TogetherAgainstCovid19 https://t.co/c9GEGcHek2",non-hostile,"#IndiaFightsCorona मानसिक स्वास्थ्य पूरी स्वस्थ रखने सरल उपायों पालन करें। प्रकार मनोसामाजिक सहायता NIMHANS (टोल फ्री) हेल्पलाइन #080-46110007 कॉल करें। बदलकर व्यवहार, कोरोना वार। #TogetherAgainstCovid19 https://t.co/c9GEGcHek2"
3189,"केरल के कोझिकोड में एयर इंडिया एक्सप्रेस विमान हादसा बेहद दुःखद है। ईश्वर से दिवंगत आत्माओं को अपने श्रीचरणों में स्थान देने के लिए एवं उनके परिजनों को इस पीड़ा को सहने की शक्ति देने के लिए प्रार्थना करता हूँ।
ॐ शांति। 

घायलों के शीघ्र स्वस्थ होने की मंगलकामना करता हूँ।",non-hostile,केरल कोझिकोड एयर इंडिया एक्सप्रेस विमान हादसा बेहद दुःखद है। ईश्वर दिवंगत आत्माओं श्रीचरणों देने परिजनों पीड़ा सहने शक्ति देने प्रार्थना हूँ। ॐ शांति। घायलों शीघ्र स्वस्थ मंगलकामना हूँ।
3190,"मित्रों भारत का वह नकली परिवार का नाम बताओ ❓
जो अपने आप को भारत रत्न दे देता है.😂😂",defamation,मित्रों भारत नकली परिवार नाम बताओ ❓ भारत रत्न दे देता है.😂😂
3191,"अपने सीनियर साथी पर सीबीआई के मुकदमे से हैरान हैं यूपी के आईएएस अफसर 
https://t.co/LZvwRn2uSL
Report- @pankajjha_",non-hostile,सीनियर साथी सीबीआई मुकदमे हैरान यूपी आईएएस अफसर https://t.co/LZvwRn2uSL Report- @pankajjha_
3192,@anuragkashyap72 @PriyankaKhimani तू कमीना है और बचेगा नही यह तय है । और तेरा गिरोह कुछ कर नही पाएगा ।,offensive,@anuragkashyap72 @PriyankaKhimani तू कमीना बचेगा नही तय तेरा गिरोह नही पाएगा
3193,"जी हाँ पश्चिम बंगाल किसी के बाप की जमिंदारी नही कि वो जो मर्जी चाहे करे.  भाजपाई लोंगो की बंदर बांट की शुरुवात है चुनाव 9 ,महीने भी बाकी नही और ममता ही एकमात्र सारे देश मे है जो मोदी के पोल खोलने मे माहिर है, उल्लू बना रहे? ये धनकर मोदी का दूत क्यो नही तेलिनीपारा जाता है?",hate,"जी हाँ पश्चिम बंगाल बाप जमिंदारी नही वो मर्जी चाहे करे. भाजपाई लोंगो बंदर बांट शुरुवात चुनाव 9 ,महीने बाकी नही ममता एकमात्र देश मोदी पोल खोलने माहिर है, उल्लू बना रहे? धनकर मोदी दूत क्यो नही तेलिनीपारा है?"
3194,"शिक्षा नीति से जितना शिक्षक, अभिभावक जुड़े होंगे, छात्र जुड़े होंगे, उतना ही उसकी प्रासंगिकता और व्यापकता, दोनों ही बढ़ती है। देश के लाखों लोगों ने, शहर में रहने वाले, गांव में रहने वाले, शिक्षा क्षेत्र से जुड़े लोगों ने, इसके लिए अपना फीडबैक दिया था, अपने सुझाव दिए थे: पीएम मोदी",non-hostile,"शिक्षा नीति शिक्षक, अभिभावक जुड़े होंगे, छात्र जुड़े होंगे, उतना प्रासंगिकता व्यापकता, बढ़ती है। देश लाखों लोगों ने, शहर रहने वाले, गांव रहने वाले, शिक्षा क्षेत्र जुड़े लोगों ने, फीडबैक था, सुझाव दिए थे: पीएम मोदी"
3195,"कब्र में जाने की उम्र में ये आतंकी 72 हूर पाने की तमन्ना लिए भीड़ में बम-ब्लास्ट करने के लिए जा ही रहा था कि सेना ने इसे पकड़ लिया। इनके सोच को गहराई से समझने परमावश्यकता है।

",fake,कब्र उम्र आतंकी 72 हूर पाने तमन्ना भीड़ बम-ब्लास्ट सेना पकड़ लिया। सोच गहराई समझने परमावश्यकता है।
3196,"एक बात समझ में नहीं आई जब ताहिर हुसैन आरोपी है और उसके घर के छत पर बहुत सारी आपत्तिजनक चीजें मिली तो क्या दिल्ली पुलिस को उस घर को सील कर देना चाहिए था या उसे मीडिया के लिए अखाड़ा बनाने के लिए छोड़ देना चाहिए था। कोई मुझे समझाएगा प्लीज
@ProfNoorul 
@sujitsingh__ 
@Trolll_ziddi",non-hostile,बात समझ आई ताहिर हुसैन आरोपी छत सारी आपत्तिजनक चीजें मिली दिल्ली पुलिस सील देना मीडिया अखाड़ा बनाने छोड़ देना था। मुझे समझाएगा प्लीज @ProfNoorul @sujitsingh__ @Trolll_ziddi
3197,डॉ. पद्मावती: ‘मदर ऑफ़ कार्डियोलॉजी’ की 103 वर्षों की सार्थक जीवन यात्रा पूरी https://t.co/ZaLAXdgN0D,non-hostile,डॉ. पद्मावती: ‘मदर ऑफ़ कार्डियोलॉजी’ 103 वर्षों सार्थक जीवन यात्रा पूरी https://t.co/ZaLAXdgN0D
3198,"#सुशांत के मामले चुप
#कंगना के मामले चुप
#संतो को पालघर में मरने पर चुप
#राम_मन्दिर के मामले चुप

ड्रग्स के मामले अचानक बोल परी #डायन #कुतीया #हरामखोर 😠 आतंकवादी बुढ़िया

माफ करना औरतो को इज्जत देता हूँ जो औरत को इज्जत नहीं दी उसको क्या दु
#SSB परिवार
#WeWantJustice4Palghar","defamation,fake,hate,offensive",#सुशांत मामले चुप #कंगना मामले चुप #संतो पालघर मरने चुप #राम_मन्दिर मामले चुप ड्रग्स मामले अचानक बोल परी #डायन #कुतीया #हरामखोर 😠 आतंकवादी बुढ़िया माफ औरतो इज्जत देता औरत इज्जत दी उसको दु #SSB परिवार #WeWantJustice4Palghar
3199,"मेरे प्यारे बेरोजगार युवा साथियो,आज 9 सितम्बर है आज एक बार फिर से सोशल मीडिया के माध्यम से सरकार की नींद तोड़ने का पुरजोर प्रयास करेंगे।
#9Baje9Minute",hate,"मेरे प्यारे बेरोजगार युवा साथियो,आज 9 सितम्बर बार सोशल मीडिया माध्यम सरकार नींद तोड़ने पुरजोर प्रयास करेंगे। #9Baje9Minute"
3200,"कहो तो प्रोटेक्शन में SPG लगा देंआतंकियों के बच्चों को भी सरकार ही पालेगी तो तुम ठेकेदार कब काम आओगे? आतंक फैलाने के लिए ""फंडिंग"" आ सकती है तो इनके लिए क्यों नही आरही?
Real Face of AAP..",defamation,"कहो प्रोटेक्शन SPG लगा देंआतंकियों बच्चों सरकार पालेगी ठेकेदार काम आओगे? आतंक फैलाने ""फंडिंग"" आ नही आरही? Real Face of AAP.."
3201,"आर्मी में चमचा गिरी की परंपरा को 
इसने शुरू किया है ।

सत्ता के एजेण्डे का भाषा बोलता है ।","defamation,hate",आर्मी चमचा गिरी परंपरा इसने शुरू सत्ता एजेण्डे भाषा बोलता
3202,"कांग्रेस सरकार मे 18 आतंकी 15अक्टूबर 1993 को श्रीनगर की हजरतबल दरगाह पर कब्जा कर बैठ गए।
80लोग बंधक बनाए।
1700 जवान अगले दिन दरगाह पहुंचे और उसे घेर लिया।
सरकार से आतंकियों की बातचीत शुरू हुई।
32दिन बाद सभी आतंकियों को सुरक्षित जाने दिया गया।
कुछ को तो पाकिस्तान सीमा पार कराई गई।",non-hostile,कांग्रेस सरकार 18 आतंकी 15अक्टूबर 1993 श्रीनगर हजरतबल दरगाह कब्जा बैठ गए। 80लोग बंधक बनाए। 1700 जवान अगले दिन दरगाह पहुंचे घेर लिया। सरकार आतंकियों बातचीत शुरू हुई। 32दिन आतंकियों सुरक्षित गया। पाकिस्तान सीमा पार कराई गई।
